aX,aY,aZ,gX,gY,gZ
-4.000,-1.703,4.000,51.208,-1169.495,-535.278
-4.000,-2.178,4.000,71.533,-1001.221,-503.479
-4.000,-2.433,4.000,181.885,-693.787,-390.320
-3.977,-2.465,4.000,254.333,-319.336,-260.437
-3.503,-2.162,4.000,300.598,63.660,-119.202
-3.396,-1.699,4.000,315.674,394.531,13.428
-3.555,-1.199,3.094,318.359,657.043,131.165
-3.627,-0.860,1.684,291.199,853.027,223.572
-3.809,-0.557,0.692,184.998,970.093,272.278
-3.593,-0.244,-0.030,115.601,1029.053,295.166
-2.474,0.320,-0.980,43.152,1096.375,300.293
-2.664,0.928,-2.933,26.123,1242.249,310.486
-3.248,1.609,-4.000,-38.391,1325.684,303.406
-2.922,1.896,-4.000,-79.956,1291.260,206.909
-2.324,1.503,-4.000,-318.176,1058.960,17.273
-1.729,0.270,-4.000,-766.052,625.000,-179.260
-0.240,0.271,-4.000,-754.578,76.843,-266.235
-0.273,-0.602,-1.877,-450.928,-492.126,-365.845
-0.771,-1.347,-0.765,-460.083,-540.894,-437.378
-1.069,-1.851,-0.426,-202.271,-464.966,-331.604
-1.053,-1.860,0.403,-104.370,-581.116,-183.289
-1.760,-1.669,1.667,-39.734,-772.705,-64.636
-3.123,-1.516,3.179,42.542,-965.881,34.607
-4.000,-1.629,4.000,147.888,-1085.632,104.065
-4.000,-1.786,4.000,234.070,-1062.439,161.499
-4.000,-1.837,4.000,245.117,-980.652,229.492
-4.000,-1.713,4.000,210.449,-797.363,285.400
-3.364,-1.437,4.000,187.561,-535.522,343.750
-2.802,-0.959,4.000,172.424,-236.633,388.794
-2.292,-0.403,4.000,148.621,68.237,419.006
-1.962,0.118,3.737,91.553,351.318,435.852
-1.885,0.437,2.375,-2.930,593.811,422.241
-1.858,0.732,1.508,-93.994,765.503,369.995
-1.475,1.175,0.246,-88.623,924.561,365.662
-1.643,1.759,-1.410,-102.173,1078.308,375.000
-2.152,2.409,-3.620,-87.646,1203.796,329.712
-2.149,2.925,-4.000,-154.968,1231.934,222.839
-1.749,2.967,-4.000,-248.108,1098.999,51.270
-1.565,2.097,-4.000,-345.947,752.136,-153.320
-0.921,1.078,-4.000,-682.129,212.952,-306.824
-1.000,-0.440,-4.000,-579.041,-262.695,-422.180
-1.719,-0.715,-2.780,-355.652,-645.996,-452.209
-2.305,-0.738,0.054,-479.004,-977.173,-475.525
-2.583,-1.427,0.529,-372.131,-838.257,-359.802
-3.305,-1.231,1.718,-174.561,-911.926,-206.970
-4.000,-1.184,2.840,-180.603,-974.121,-112.793
-4.000,-1.329,3.939,-96.191,-1007.935,-54.138
-4.000,-1.480,4.000,-22.827,-1006.958,0.977
-4.000,-1.481,4.000,28.870,-919.739,69.519
-3.940,-1.322,4.000,78.125,-724.365,138.733
-3.214,-1.068,4.000,112.549,-476.379,193.787
-2.688,-0.927,4.000,111.206,-194.397,218.750
-2.456,-0.568,4.000,28.687,128.906,231.567
-2.602,-0.041,4.000,-46.692,456.116,244.263
-2.891,0.279,2.732,-101.990,712.097,222.595
-2.996,0.431,1.525,-118.774,876.404,172.180
-2.788,0.539,0.667,-120.117,968.323,119.507
-2.365,0.689,-0.292,-97.961,1037.109,81.299
-1.977,0.941,-1.439,-84.412,1089.050,53.833
-1.941,1.238,-3.160,-84.961,1151.123,31.067
-2.319,1.553,-4.000,-145.447,1195.129,-8.667
-2.333,1.787,-4.000,-105.103,1069.763,-81.238
-1.270,2.191,-4.000,-163.452,626.221,-163.574
-1.250,1.932,-4.000,-180.725,49.561,-288.940
-2.605,1.144,-4.000,-68.359,-477.478,-437.744
-3.931,0.161,-1.623,-53.711,-909.912,-571.350
-4.000,-0.650,1.169,-143.738,-1152.161,-666.992
-4.000,-1.509,3.486,-74.951,-1208.740,-747.009
-4.000,-2.179,4.000,-17.944,-1168.945,-694.641
-4.000,-2.642,4.000,81.360,-982.422,-606.934
-3.423,-2.913,4.000,182.434,-672.729,-513.489
-2.871,-3.300,4.000,123.169,-314.880,-426.758
-2.330,-3.338,4.000,-25.024,38.818,-319.153
-2.497,-2.780,4.000,6.531,389.832,-166.138
