aX,aY,aZ,gX,gY,gZ
0.289,0.607,0.897,-15.686,-81.909,112.610
0.304,0.619,0.909,-17.395,-69.702,106.201
0.333,0.663,0.909,-22.583,-54.443,101.013
0.387,0.729,0.852,-19.775,-39.673,94.666
0.407,0.766,0.879,-14.709,-34.668,85.266
0.436,0.793,0.920,-12.634,-32.532,73.120
0.466,0.812,0.929,-11.841,-28.931,58.960
0.504,0.812,0.923,-10.498,-25.208,43.274
0.529,0.796,0.927,-9.460,-22.522,27.588
0.544,0.756,0.923,-9.827,-18.616,13.062
0.565,0.715,0.914,-8.667,-13.977,0.854
0.571,0.672,0.901,-6.531,-9.460,-8.789
0.594,0.624,0.889,-4.150,-5.432,-17.456
0.595,0.548,0.889,-2.441,-2.441,-24.597
0.600,0.500,0.876,-0.305,0.977,-28.809
0.609,0.470,0.856,2.197,5.127,-31.860
0.619,0.437,0.850,3.235,8.850,-34.485
0.625,0.401,0.826,1.221,13.000,-37.537
0.629,0.360,0.795,-0.854,16.907,-40.222
0.642,0.314,0.760,-1.099,19.775,-41.687
0.651,0.278,0.723,0.183,21.545,-42.053
0.655,0.245,0.704,2.869,22.522,-41.138
0.666,0.213,0.696,4.883,22.888,-40.039
0.675,0.189,0.672,5.676,23.865,-38.269
0.685,0.169,0.645,6.531,24.841,-35.767
0.692,0.156,0.626,8.423,24.963,-32.654
0.708,0.147,0.609,11.230,24.414,-29.846
0.717,0.136,0.601,12.512,23.437,-27.466
0.723,0.136,0.585,12.512,22.888,-24.902
0.730,0.132,0.580,12.085,22.156,-23.193
0.739,0.120,0.575,10.803,21.057,-22.339
0.754,0.093,0.556,8.789,19.775,-20.935
0.763,0.062,0.538,7.141,18.616,-18.616
0.766,0.045,0.535,6.531,16.785,-14.465
0.761,0.056,0.549,7.324,14.465,-9.033
0.761,0.079,0.565,7.874,12.390,-4.150
0.764,0.104,0.576,7.324,11.047,-1.038
0.767,0.136,0.580,5.737,10.193,1.465
0.767,0.158,0.578,4.028,9.644,2.563
0.771,0.172,0.579,2.869,8.911,2.869
0.770,0.188,0.583,1.953,8.545,3.113
0.768,0.206,0.593,1.709,8.057,3.113
0.777,0.216,0.593,1.282,8.057,2.502
0.771,0.228,0.600,1.160,7.751,2.136
0.760,0.241,0.596,0.977,7.996,1.648
0.757,0.250,0.592,1.648,8.118,1.099
0.757,0.261,0.587,2.563,8.057,0.610
0.762,0.267,0.584,3.235,7.812,-0.305
0.763,0.260,0.587,3.296,7.080,-1.709
0.763,0.251,0.585,2.808,6.653,-2.808
0.760,0.249,0.576,2.319,6.226,-3.174
0.756,0.246,0.575,2.869,5.615,-3.357
0.756,0.245,0.574,3.601,4.944,-3.418
0.757,0.248,0.572,4.272,4.578,-3.174
0.766,0.263,0.568,5.249,4.333,-3.052
0.770,0.271,0.567,5.371,3.601,-3.479
0.771,0.270,0.570,5.371,2.319,-4.761
0.773,0.264,0.569,4.272,1.160,-7.385

-0.764,2.431,1.668,-139.282,-29.663,68.665
-0.987,3.605,1.805,-141.235,-4.089,11.780
-1.194,4.000,1.838,-118.652,36.072,-96.497
-1.314,4.000,1.610,-78.125,94.360,-244.873
-1.517,3.990,1.177,-21.912,153.564,-397.461
-1.879,3.253,0.661,39.490,198.669,-526.184
-2.214,2.571,0.307,85.815,217.224,-629.456
-2.528,2.114,0.104,118.103,219.543,-711.487
-2.915,1.811,-0.007,149.597,215.576,-781.067
-3.536,1.529,-0.222,172.729,221.863,-845.154
-4.000,1.033,-0.659,189.392,231.506,-913.452
-4.000,0.158,-1.053,194.397,225.647,-979.187
-4.000,-0.607,-1.485,184.631,215.759,-1006.653
-4.000,-1.290,-1.727,166.016,205.627,-997.009
-4.000,-2.321,-2.182,121.338,189.880,-960.144
-3.997,-3.865,-2.549,21.606,161.438,-903.076
-3.207,-4.000,-1.985,-68.665,87.036,-843.567
-2.570,-4.000,-0.997,-48.157,17.700,-765.137
-1.777,-4.000,-0.148,12.512,-27.405,-628.052
-1.278,-4.000,0.163,78.796,-39.673,-397.461
-1.219,-4.000,0.059,114.807,-27.405,-209.717
-1.210,-4.000,-0.130,131.714,-23.865,-92.773
-1.265,-4.000,0.188,139.771,-54.138,-40.527
-1.329,-3.499,0.139,123.962,-45.776,46.936
-1.276,-2.760,-0.151,108.521,-22.217,133.301
-1.009,-2.446,-0.441,97.107,-3.357,188.660
-0.696,-2.384,-0.686,88.074,7.812,231.995
